expression,reading,meaning,tags
咲く,さく,to bloom,Genki Genki_Ln.18 JLPT JLPT_3 JLPT_5 JLPT_N5
作文,さくぶん,essay; composition,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",JLPT JLPT_3 JLPT_5 JLPT_N5
～冊,～さつ,counter for books,JLPT JLPT_5 JLPT_N5
雑誌,ざっし,"magazine, journal",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.8 JLPT JLPT_5 JLPT_N5
砂糖,さとう,sugar,Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
寒い,さむい,cold (in reference to weather),Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
さ来年,さらいねん,year after next,JLPT JLPT_5 JLPT_N5
～さん,～さん,"Mr. ~, Ms. ~",JLPT JLPT_2 JLPT_5 JLPT_N5
三,さん,three,JLPT JLPT_5 JLPT_N5
散歩,さんぽ (する),"walk, stroll",JLPT JLPT_3 JLPT_5 JLPT_N5
四,し,four,JLPT JLPT_3 JLPT_5 JLPT_N5
～時,～じ,~ o'clock (time),JLPT JLPT_1 JLPT_5 JLPT_N5
塩,しお,salt,JLPT JLPT_5 JLPT_N5
しかし,しかし,however; but,Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
時間,じかん,time,Genki Genki_Ln.14 JLPT JLPT_2 JLPT_5 JLPT_N5
～時間,～じかん,~ hours,JLPT JLPT_5 JLPT_N5
仕事,しごと,"work, job, occupation, employment",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_5 JLPT_N5
辞書,じしょ,dictionary,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
静か,しずか,"quiet, calm",JLPT JLPT_5 JLPT_N5
下,した,"under, below, beneath",JLPT JLPT_3 JLPT_5 JLPT_N5
七,しち,seven,JLPT JLPT_3 JLPT_5 JLPT_N5
質問,しつもん,"question, inquiry",Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
自転車,じてんしゃ,bicycle,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
自動車,じどうしゃ,automobile,JLPT JLPT_5 JLPT_N5
死ぬ,しぬ,to die,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
字引,じびき,dictionary,JLPT JLPT_5 JLPT_N5
自分,じぶん,"myself, oneself",Genki Genki_Ln.17 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
閉まる,しまる,"to close, to be closed",JLPT JLPT_5 JLPT_N5
閉める,しめる,"to close, to shut",JLPT JLPT_3 JLPT_5 JLPT_N5
締める,しめる,"to tie, to fasten, to tighten",JLPT JLPT_3 JLPT_5 JLPT_N5
じゃ; じゃあ,じゃ; じゃあ,"well, well then",JLPT JLPT_3 JLPT_5 JLPT_N5
写真,しゃしん,a picture; a photograph,Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
シャツ,シャツ,shirt,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
シャワー,シャワー,shower,JLPT JLPT_5 JLPT_N5
十,じゅう,ten,JLPT JLPT_3 JLPT_5 JLPT_N5
～中,～じゅう,"during, while",JLPT JLPT_2 JLPT_5 JLPT_N5
～週間,～しゅうかん,~ weeks,JLPT JLPT_5 JLPT_N5
授業,じゅぎょう,a class (of school),Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
宿題,しゅくだい,homework,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
上手,じょうず,"be good at, skillful",JLPT JLPT_5 JLPT_N5
丈夫,じょうぶ,"strong, solid, durable",JLPT JLPT_5 JLPT_N5
醤油,しょうゆ,soy sauce,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
食堂,しょくどう,"cafeteria, dining hall",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
知る,しる,"to know, to understand",Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
白,しろ,white,JLPT JLPT_3 JLPT_5 JLPT_N5
白い,しろい,white,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
～人,～じん,counter for people,JLPT JLPT_5 JLPT_N5
新聞,しんぶん,newspaper,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
水曜日,すいようび,Wednesday,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
吸う,すう,"to breathe in, to suck",JLPT JLPT_3 JLPT_5 JLPT_N5
スカート,スカート,skirt,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5
好き,すき,"liking, fondness, love",JLPT JLPT_5 JLPT_N5
～すぎ,～すぎ,"past; to exceed, ~ too much",JLPT JLPT_5 JLPT_N5
少ない,すくない,a little; a few,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
すぐに,すぐに,"immediately, soon",JLPT JLPT_5 JLPT_N5
少し,すこし,"little, few",Genki Genki_Ln.21 JLPT JLPT_5 JLPT_N5
涼しい,すずしい,"cool, refreshing (in reference to weather)",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
～ずつ,～ずつ,at a time,JLPT JLPT_5 JLPT_N5
ストーブ,ストーブ,heater (lit: stove),Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
スプーン,スプーン,spoon,JLPT JLPT_5 JLPT_N5
スポーツ,スポーツ,sport(s),Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
ズボン,ズボン,trousers,JLPT JLPT_5 JLPT_N5
住む,すむ,"to reside, to live in",JLPT JLPT_3 JLPT_5 JLPT_N5
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5
座る,すわる,to sit,JLPT JLPT_5 JLPT_N5
背,せい,"(one's) height, stature",Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
生徒,せいと,student; pupil,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5
セーター,セーター,sweater,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
石鹸,せっけん,soap,JLPT JLPT_5 JLPT_N5
背広,せびろ,men's suit,Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
狭い,せまい,narrow; not spacious,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5
ゼロ,ゼロ,zero,JLPT JLPT_5 JLPT_N5
千,せん,thousand,JLPT JLPT_5 JLPT_N5
先月,せんげつ,last month,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
先週,せんしゅう,last week,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
先生,せんせい,"teacher, professor; master; doctor",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
洗濯,せんたく,"washing, laundry",Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_3 JLPT_5 JLPT_N5
全部,ぜんぶ,"all, entire, whole",Genki Genki_Ln.13 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
そう; そうです,そう; そうです,"yes; appears, to be the case",JLPT JLPT_5 JLPT_N5
掃除,そうじ (する),"cleaning, sweeping",JLPT JLPT_3 JLPT_5 JLPT_N5
そうして; そして,そうして; そして,"and, like that",JLPT JLPT_5 JLPT_N5
そこ,そこ,"that place, there; bottom, sole",Genki Genki_Ln.4 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5
そちら,そちら,over there,JLPT JLPT_5 JLPT_N5
そっち,そっち,over there,JLPT JLPT_5 JLPT_N5
外,そと,"outside, exterior",Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
その,その,that,JLPT JLPT_3 JLPT_5 JLPT_N5
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5
空,そら,sky,JLPT JLPT_5 JLPT_N5
それ,それ,that one,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
それから,それから,"and then, after that",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
それでは,それでは,"in that situation, well then...",JLPT JLPT_5 JLPT_N5
～台,～だい,counter for vehicles; machines,JLPT JLPT_5 JLPT_N5
大学,だいがく,college; university,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
大使館,たいしかん,embassy,JLPT JLPT_5 JLPT_N5
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
大好き,だいすき,"very like-able, like very much",JLPT JLPT_5 JLPT_N5
大切,たいせつ,important,JLPT JLPT_5 JLPT_N5
台所,だいどころ,kitchen,JLPT JLPT_5 JLPT_N5
大変,たいへん,"very; difficult, hard",JLPT JLPT_3 JLPT_5 JLPT_N5
高い,たかい,"tall, high; expensive",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
～だけ,～だけ,"only ~, just ~, as ~",JLPT JLPT_1 JLPT_5 JLPT_N5
沢山,たくさん,"many, much",JLPT JLPT_5 JLPT_N5
タクシー,タクシー,taxi,JLPT JLPT_5 JLPT_N5
出す,だす,to take (something) out; to hand in (something),Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5
～たち,～たち,plural suffix,JLPT JLPT_5 JLPT_N5
立つ,たつ,to stand up,Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5
たて,たて,"length, height",JLPT JLPT_3 JLPT_5 JLPT_N5
建物,たてもの,building,Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5
楽しい,たのしい,"enjoyable, fun",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
頼む,たのむ,"to request, to ask (a favor)",Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5
たばこ,たばこ,"tobacco, cigarettes",JLPT JLPT_5 JLPT_N5
多分,たぶん,"perhaps, probably, maybe",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
食べ物,たべもの,food,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
食べる,たべる,to eat,JLPT JLPT_5 JLPT_N5
卵,たまご,egg,Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
誰,だれ,who,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
誰か,だれか,someone,JLPT JLPT_3 JLPT_5 JLPT_N5
誕生日,たんじょうび,birthday,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
段々,だんだん,"gradually, by degrees",JLPT JLPT_5 JLPT_N5
小さい,ちいさい,"small, little",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
小さな,ちいさな,"small, little",JLPT JLPT_5 JLPT_N5
近い,ちかい,"near, close by, short",Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
違う,ちがう,to be different; to differ; wrong,Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
近く,ちかく,nearby; in the neighborhood,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
地下鉄,ちかてつ,"underground train, subway",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
地図,ちず,a map,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
父,ちち,(my) father,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
茶色,ちゃいろ,brown,JLPT JLPT_5 JLPT_N5
茶碗,ちゃわん,rice bowl,JLPT JLPT_5 JLPT_N5
～中,～ちゅう,"during, while ~ing",JLPT JLPT_5 JLPT_N5
丁度,ちょうど,"just, right, exactly",JLPT JLPT_5 JLPT_N5
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5
一日,ついたち,one day; first day of the month,JLPT JLPT_5 JLPT_N5
使う,つかう,to use,JLPT JLPT_5 JLPT_N5
疲れる,つかれる,to get (become) tired; to become fatigued,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
次,つぎ,next,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
着く,つく,"to arrive at, to reach",JLPT JLPT_3 JLPT_5 JLPT_N5
机,つくえ,desk,Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
作る,つくる,"to make, to create",Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
つける,つける,"to turn on (e.g., a light); to take",JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5
勤める,つとめる,to work (for),JLPT JLPT_5 JLPT_N5
つまらない,つまらない,"boring, dull; insignificant",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
冷たい,つめたい,"cold (things, people)",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
強い,つよい,"strong, powerful",Genki Genki_Ln.17 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5
手,て,hand,JLPT JLPT_5 JLPT_N5
テープ,テープ,tape,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
テープレコーダー,テープレコーダー,tape recorder,JLPT JLPT_5 JLPT_N5
テーブル,テーブル,table,JLPT JLPT_5 JLPT_N5
出かける,でかける,to go out; to depart,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
手紙,てがみ,letter,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
できる,できる,to be able to (to accomplish),JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5
出口,でぐち,an exit,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5
テスト,テスト,test,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
では,では,"then, well, so",JLPT JLPT_3 JLPT_5 JLPT_N5
デパート,デパート,(abbr.) department store,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
でも,でも,"but, however",JLPT JLPT_3 JLPT_5 JLPT_N5
出る,でる,"to appear, to leave",JLPT JLPT_5 JLPT_N5
テレビ,テレビ,"television, TV",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
天気,てんき,weather,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
電気,でんき,"electricity, (electric) light",Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
電車,でんしゃ,electric train,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5
電話,でんわ,a telephone,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
戸,と,door (Japanese style),JLPT JLPT_5 JLPT_N5
～度,～ど,counter for occurrences; ~ degree; ~ point,JLPT JLPT_1 JLPT_5 JLPT_N5
ドア,ドア,door (Western style),JLPT JLPT_5 JLPT_N5
トイレ,トイレ,bathroom; toilet,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
どう,どう,"how, in what way",JLPT JLPT_5 JLPT_N5
どうして,どうして,"why, for what reason",Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
どうぞ,どうぞ,"please, kindly, by all means",JLPT JLPT_5 JLPT_N5
動物,どうぶつ,animal,Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
どうも,どうも,Thank you; somehow; no matter how hard one may try,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
十,(〜を) とお,ten (~),Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5
遠い,とおい,"far (away), distant",Genki Genki_Ln.21 JLPT JLPT_5 JLPT_N5
十日,とおか,ten days; tenth day of the month,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
～時,～とき,at the time of ~,JLPT JLPT_3 JLPT_5 JLPT_N5
時々,ときどき,sometimes,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
時計,とけい,a watch; a clock,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
どこ,どこ,"where, what place",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
所,ところ,place,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
年,とし,"year, age",JLPT JLPT_3 JLPT_5 JLPT_N5
図書館,としょかん,library,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5
どちら,どちら,which (one) (way); where (polite),Genki Genki_Ln.10 Genki_Ln.19 JLPT JLPT_5 JLPT_N5
どっち,どっち,"which one, which way",Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5
とても,とても,"very (much), greatly, exceedingly",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
どなた,どなた,who,JLPT JLPT_5 JLPT_N5
隣,となり,"next to, next door to",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
どの,どの,which,JLPT JLPT_5 JLPT_N5
飛ぶ,とぶ,"to fly, to hop",JLPT JLPT_5 JLPT_N5
止まる,とまる,to come to a halt,JLPT JLPT_5 JLPT_N5
友達,ともだち,friend,Genki Genki_Ln.1 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
土曜日,どようび,Saturday,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
鳥,とり,"chicken (lit., bird)",Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
鶏肉,とりにく,chicken meat,JLPT JLPT_5 JLPT_N5
取る,とる,to take (a class); to get (a grade),Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
撮る,とる,"to take (a photo), to make (a film)",JLPT JLPT_5 JLPT_N5
どれ,どれ,which one,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5
どんな,どんな,"what, what kind of",JLPT JLPT_3 JLPT_5 JLPT_N5
ない,ない,"there isn't, doesn't have",JLPT JLPT_5 JLPT_N5
ナイフ,ナイフ,knife,JLPT JLPT_5 JLPT_N5
中,なか,"inside, middle, among",JLPT JLPT_3 JLPT_5 JLPT_N5
長い,ながい,"long, lengthy",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_2 JLPT_5 JLPT_N5
鳴く,なく,to make sound (animal),JLPT JLPT_5 JLPT_N5
無くす,なくす,to lose something,JLPT JLPT_3 JLPT_5 JLPT_N5
なぜ,なぜ,why (same as どうして),Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5
夏,なつ,summer,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
夏休み,なつやすみ,summer vacation,JLPT JLPT_5 JLPT_N5
～など,～など,et cetera,JLPT JLPT_3 JLPT_5 JLPT_N5
七つ,ななつ,seven things,Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5
何,なん; なに,what,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
七日,なのか,seven days; seventh day (of the month),Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5
名前,なまえ,name,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
習う,ならう,to learn,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5
並べる,ならべる,to put (things) side by side; to line up,Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5
なる,なる,to become,Genki Genki_Ln.10 JLPT JLPT_3 JLPT_5 JLPT_N5
何～,なん～,what sort of ~,JLPT JLPT_5 JLPT_N5
二,に,two,JLPT JLPT_5 JLPT_N5
にぎやか,にぎやか,"bustling, busy",JLPT JLPT_5 JLPT_N5
肉,にく,meat,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
西,にし,west,JLPT JLPT_5 JLPT_N5
～日,～にち,"~ day of the month, for ~ days",JLPT JLPT_5 JLPT_N5
日曜日,にちようび,Sunday,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
荷物,にもつ,luggage; baggage,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5
ニュース,ニュース,news,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
庭,にわ,garden,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5
～人,～にん,counter for people,JLPT JLPT_5 JLPT_N5
脱ぐ,ぬぐ,to take off (clothes),Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5
温い,ぬるい,lukewarm,JLPT JLPT_3 JLPT_5 JLPT_N5
ネクタイ,ネクタイ,"tie, necktie",Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5
猫,ねこ,cat,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
寝る,ねる,to sleep; to go to sleep; to go to bed,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
～年,～ねん,~ years,JLPT JLPT_5 JLPT_N5
ノート,ノート,notebook,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
登る,のぼる,to climb,JLPT JLPT_3 JLPT_5 JLPT_N5
飲み物,のみもの,"drink, beverage",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
飲む,のむ,to drink,JLPT JLPT_5 JLPT_N5
乗る,のる,"to get on, to ride in, to board",JLPT JLPT_3 JLPT_5 JLPT_N5
歯,は,tooth,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
パーティー,パーティー,a party,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
はい,はい,yes,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
～杯,～はい,counter for cupfuls,JLPT JLPT_5 JLPT_N5
灰皿,はいざら,ashtray,JLPT JLPT_5 JLPT_N5
入る,はいる,"to enter, to contain, to hold",JLPT JLPT_5 JLPT_N5
葉書,はがき,postcard,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
はく,はく,to put on (items below your waist),Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5
箱,はこ,box,JLPT JLPT_5 JLPT_N5
橋,はし,bridge,JLPT JLPT_3 JLPT_5 JLPT_N5
箸,はし,chopsticks,Genki Genki_Ln.8 JLPT JLPT_3 JLPT_5 JLPT_N5
始まる,はじまる,(something) begins,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
初め; 始め,はじめ,"beginning, start",JLPT JLPT_3 JLPT_5 JLPT_N5
初めて,はじめて,for the first time,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
走る,はしる,to run,Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
バス,バス,bus; bath; bass,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_1 JLPT_5 JLPT_N5
バター,バター,butter,JLPT JLPT_5 JLPT_N5
二十歳,はたち,20 years old,JLPT JLPT_3 JLPT_5 JLPT_N5
働く,はたらく,to work,Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5
八,はち,eight,JLPT JLPT_5 JLPT_N5
二十日,はつか,"twenty days, twentieth (day of the month)",JLPT JLPT_5 JLPT_N5
花,はな,flower,JLPT JLPT_5 JLPT_N5
鼻,はな,nose,JLPT JLPT_5 JLPT_N5
話,はなし,"talk (chat), story",Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5
話す,はなす,to speak,JLPT JLPT_3 JLPT_5 JLPT_N5
母,はは,(my) mother,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5
早い,はやい,early,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
速い,はやい,"fast, quick",Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
春,はる,spring,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
貼る,はる,to post; to paste; to attach,Genki Genki_Ln.21 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5
晴れ,はれ,clear (sunny) weather,Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5
晴れる,はれる,to be sunny,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5
半,はん,"half (e.g., にじはん | half-past two)",Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5
晩,ばん,evening,JLPT JLPT_3 JLPT_5 JLPT_N5
～番,～ばん,~st; ~th best,JLPT JLPT_5 JLPT_N5
パン,パン,bread,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
ハンカチ,ハンカチ,handkerchief,JLPT JLPT_5 JLPT_N5
番号,ばんごう,"number, series of digits",Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5
晩御飯,ばんごはん,"dinner, evening meal",Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
半分,はんぶん,half,JLPT JLPT_5 JLPT_N5
東,ひがし,east,JLPT JLPT_5 JLPT_N5
～匹,～ひき,counter for small animals,JLPT JLPT_5 JLPT_N5
引く,ひく,"to pull, to draw; subtract",JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5
弾く,ひく,to play (a string instrument or piano),Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5
低い,ひくい,"short, low",JLPT JLPT_5 JLPT_N5
飛行機,ひこうき,airplane,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
左,ひだり,left hand side,JLPT JLPT_5 JLPT_N5
人,ひと,"man, person",Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
一つ,ひとつ,one thing,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
一月,ひとつき,one month,JLPT JLPT_5 JLPT_N5
一人,ひとり,one person,Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5
暇,ひま,"free time, leisure",JLPT JLPT_5 JLPT_N5
百,ひゃく,hundred,JLPT JLPT_5 JLPT_N5
病院,びょういん,hospital,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
病気,びょうき,illness; sickness,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
平仮名,ひらがな,hiragana,JLPT JLPT_5 JLPT_N5
