expression,reading,meaning,tags
胃,い,stomach,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
委員,いいん,committee member,JLPT JLPT_2 JLPT_3
意外,いがい,"unexpected, surprising",JLPT JLPT_2 JLPT_3
行き,いき,going,JLPT JLPT_2 JLPT_3
行き,ゆき,going,JLPT JLPT_2 JLPT_3
息,いき,breath,JLPT JLPT_2 JLPT_3
勢い,いきおい,"force, vigor, momentum",JLPT JLPT_2 JLPT_3
生き物,いきもの,"living thing, creature",JLPT JLPT_2 JLPT_3
いけない,いけない,"must not do, bad, wrong",JLPT JLPT_2 JLPT_3
医師,いし,"doctor, physician",JLPT JLPT_2 JLPT_3
意思,いし,"intention, purpose",JLPT JLPT_2 JLPT_3
意志,いし,"will, volition",JLPT JLPT_2 JLPT_3
維持,いじ,"maintenance, preservation",JLPT JLPT_2 JLPT_3
意識,いしき,"consciousness, senses",JLPT JLPT_2 JLPT_3
異常,いじょう,"strangeness, abnormality, disorder",JLPT JLPT_2 JLPT_3
意地悪,いじわる,"malicious, mean, unkind",JLPT JLPT_2 JLPT_3
泉,いずみ,"spring, fountain",JLPT JLPT_2 JLPT_3
いずれ,いずれ,"where, which, who",JLPT JLPT_2 JLPT_3
以前,いぜん,in the past; before,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
板,いた,"board, plank",JLPT JLPT_2 JLPT_3
偉大,いだい,greatness,JLPT JLPT_2 JLPT_3
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
いたずら,いたずら,"trick, practical joke",JLPT JLPT_2 JLPT_3
いただきます,いただきます,expression of gratitude before meals,JLPT JLPT_2 JLPT_3
痛み,いたみ,"pain, ache, sore",JLPT JLPT_2 JLPT_3
至る,いたる,"to come, to arrive",JLPT JLPT_2 JLPT_3
市,いち,"market, fair",JLPT_1 JLPT JLPT_2 JLPT_3
位置,いち,"place, position",JLPT JLPT_2 JLPT_3
一時,いちじ,"for a time, temporarily",JLPT JLPT_2 JLPT_3
一度に,いちどに,all at once,JLPT JLPT_2 JLPT_3
市場,いちば,"market, bazaar",JLPT JLPT_2 JLPT_3
いつか,いつか,"sometime, one day",JLPT JLPT_2 JLPT_3
一家,いっか,"family, clan",JLPT JLPT_2 JLPT_3
一種,いっしゅ,"a species, a kind, a variety",JLPT JLPT_2 JLPT_3
一瞬,いっしゅん,"a moment, an instant",JLPT JLPT_2 JLPT_3
一生,いっしょう,throughout (one's) life,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
一層,いっそう,"much more, still more",JLPT JLPT_2 JLPT_3
一体,いったい,one object; body; what on earth?; generally,JLPT JLPT_2 JLPT_3
一致,いっち,agreement; conformity,JLPT JLPT_2 JLPT_3
いつでも,いつでも,"(at) any time, always",JLPT JLPT_2 JLPT_3
いつのまにか,いつのまにか,before one knows,JLPT JLPT_2 JLPT_3
一般,いっぱん,"general, average",JLPT JLPT_2 JLPT_3
一方,いっぽう,on the other hand; meanwhile,JLPT JLPT_2 JLPT_3
いつまでも,いつまでも,"forever, for good, eternally",JLPT JLPT_2 JLPT_3
移動,いどう,"migration, movement",JLPT JLPT_2 JLPT_3
従兄弟,いとこ,cousin (male),JLPT JLPT_2 JLPT_3
従姉妹,いとこ,cousin (female),JLPT JLPT_2 JLPT_3
稲,いね,rice-plant,JLPT JLPT_2 JLPT_3
居眠り,いねむり,"dozing, nodding off",JLPT JLPT_2 JLPT_3
命,いのち,life,JLPT JLPT_2 JLPT_3
違反,いはん,"violation (of law), infringement",JLPT JLPT_2 JLPT_3
衣服,いふく,clothes,JLPT JLPT_2 JLPT_3
居間,いま,living room,JLPT JLPT_2 JLPT_3
今に,いまに,"before long, soon",JLPT JLPT_2 JLPT_3
今にも,いまにも,"at any time, soon",JLPT JLPT_2 JLPT_3
イメージ,イメージ,one's image,JLPT JLPT_2 JLPT_3
否,いや,"no, the noes",JLPT JLPT_2 JLPT_3
以来,いらい,"since, henceforth",JLPT JLPT_2 JLPT_3
依頼,いらい,request; dependence,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
いらいら,いらいら,"getting nervous, irritation",JLPT JLPT_2 JLPT_3
いらっしゃい,いらっしゃい,welcome,JLPT JLPT_2 JLPT_3
医療,いりょう,"medical care, medical treatment",JLPT JLPT_2 JLPT_3
岩,いわ,rock,JLPT JLPT_2 JLPT_3
祝い,いわい,"celebration, festival",JLPT JLPT_2 JLPT_3
祝う,いわう,"to congratulate, to celebrate",JLPT JLPT_2 JLPT_3
言わば,いわば,so to speak,JLPT JLPT_2 JLPT_3
いわゆる,いわゆる,"the so-called, so-to-speak",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
インク,インク,ink,JLPT JLPT_2 JLPT_3
印刷,いんさつ,printing,JLPT JLPT_2 JLPT_3
印象,いんしょう,impression,JLPT JLPT_2 JLPT_3
引退,いんたい,retirement,JLPT JLPT_2 JLPT_3
インタビュー,インタビュー,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
引用,いんよう,"quotation, citation",JLPT JLPT_2 JLPT_3
ウイスキー,ウイスキー,whiskey,JLPT JLPT_2 JLPT_3
上,うわ,"upper, outer, surface",JLPT JLPT_2 JLPT_3
魚,うお,fish,JLPT JLPT_2 JLPT_3
うがい,うがい,gargling,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
受け取る,うけとる,"to receive, to get, to accept",JLPT JLPT_2 JLPT_3
動かす,うごかす,"to move, to shift",JLPT JLPT_2 JLPT_3
兎,うさぎ,"rabbit, hare",JLPT JLPT_2 JLPT_3
牛,うし,"cattle, cow",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
失う,うしなう,"to lose, to part with",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
疑う,うたがう,"to doubt, to distrust",JLPT JLPT_2 JLPT_3
宇宙,うちゅう,"universe, cosmos, space",JLPT JLPT_2 JLPT_3
討つ,うつ,"to attack, to avenge",JLPT JLPT_2 JLPT_3
撃つ,うつ,"to attack, to shoot",JLPT JLPT_2 JLPT_3
うっかり,うっかり,carelessly; inadvertently,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
映す,うつす,"to project, to reflect, to cast (shadow)",JLPT JLPT_2 JLPT_3
訴える,うったえる,"to complain, to appeal, to sue (a person)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
写る,うつる,"to be photographed, to be projected",JLPT JLPT_2 JLPT_3
映る,うつる,"to be reflected, to come out (photo)",JLPT JLPT_2 JLPT_3
うなる,うなる,"to groan, to moan",JLPT JLPT_2 JLPT_3
奪う,うばう,"to rob, to deprive",JLPT JLPT_2 JLPT_3
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
生まれ,うまれ,"birth, birth-place",JLPT JLPT_2 JLPT_3
有無,うむ,"yes or no, presence or absence",JLPT JLPT_2 JLPT_3
梅,うめ,"plum, lowest (of a three-tier ranking system)",JLPT JLPT_2 JLPT_3
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",JLPT JLPT_2 JLPT_3
裏切る,うらぎる,"to betray, to turn traitor",JLPT JLPT_2 JLPT_3
羨ましい,うらやましい,"envious, enviable",JLPT JLPT_2 JLPT_3
売れる,うれる,to be sold,JLPT JLPT_2 JLPT_3
噂,うわさ,"rumor, gossip",JLPT JLPT_2 JLPT_3
運,うん,"fortune, luck",JLPT JLPT_2 JLPT_3
運転,うんてん,"operation, driving",JLPT JLPT_2 JLPT_3
柄,え,"handle (of a sword, dagger, etc.), grip",JLPT_1 JLPT JLPT_2 JLPT_3
永遠,えいえん,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3
永久,えいきゅう,"eternity, perpetuity, immortality",JLPT JLPT_2 JLPT_3
影響,えいきょう,"influence, effect",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
営業,えいぎょう,"business, trade, management",JLPT JLPT_2 JLPT_3
衛星,えいせい,satellite,JLPT_1 JLPT JLPT_2 JLPT_3
栄養,えいよう,"nutrition, nourishment",JLPT JLPT_2 JLPT_3
笑顔,えがお,smile (on one's face),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
描く,えがく,"to draw, to depict, to describe",JLPT JLPT_2 JLPT_3
餌,えさ,"feed, bait",JLPT JLPT_2 JLPT_3
エネルギー,エネルギー,energy (GER: energie),JLPT JLPT_2 JLPT_3
得る,える,"to get, to gain, to win, to learn",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
得る,うる,"to get, to gain, to win",JLPT JLPT_2 JLPT_3
円,えん,"circle, yen",JLPT JLPT_2 JLPT_3
延期,えんき,"postponement, adjournment",JLPT JLPT_2 JLPT_3
演技,えんぎ,"acting, performance",JLPT JLPT_2 JLPT_3
援助,えんじょ,"assistance, aid, support",JLPT JLPT_2 JLPT_3
エンジン,エンジン,engine,JLPT JLPT_2 JLPT_3
演説,えんぜつ,"speech, address",JLPT JLPT_2 JLPT_3
演奏,えんそう,musical performance,JLPT JLPT_2 JLPT_3
老い,おい,"old age, the aged",JLPT JLPT_2 JLPT_3
追い付く,おいつく,"to overtake, to catch up (with)",JLPT JLPT_2 JLPT_3
王,おう,king,JLPT JLPT_2 JLPT_3
追う,おう,"to chase, to run after",JLPT JLPT_2 JLPT_3
応援,おうえん,"aid, assistance, help",JLPT JLPT_2 JLPT_3
王様,おうさま,king,JLPT JLPT_2 JLPT_3
王子,おうじ,prince,JLPT JLPT_2 JLPT_3
応じる,おうじる,"to adapt, to respond, to comply with",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
横断,おうだん,crossing,JLPT JLPT_2 JLPT_3
終える,おえる,to finish,JLPT JLPT_2 JLPT_3
大いに,おおいに,"much, considerably (same as 大変 (たいへん)), greatly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
覆う,おおう,"to cover, to hide, to conceal",JLPT JLPT_2 JLPT_3
大家,おおや,landlord,JLPT JLPT_2 JLPT_3
丘,おか,"hill, height",JLPT JLPT_2 JLPT_3
沖,おき,open sea,JLPT JLPT_2 JLPT_3
奥,おく,"interior, inner part",JLPT JLPT_2 JLPT_3
贈る,おくる,"to present, to give to, to award to",JLPT JLPT_2 JLPT_3
起こる,おこる,"to occur, to happen",JLPT JLPT_2 JLPT_3
押える,おさえる,"to stop, to restrain, to press down",JLPT JLPT_2 JLPT_3
幼い,おさない,"very young, childish",JLPT JLPT_2 JLPT_3
収める,おさめる,"to store to pay, to supply",JLPT JLPT_2 JLPT_3
納める,おさめる,"to store to pay, to supply",JLPT JLPT_2 JLPT_3
治める,おさめる,"to govern, to manage; to subdue",JLPT JLPT_2 JLPT_3
お辞儀,おじぎ,bow,JLPT JLPT_2 JLPT_3
お洒落,おしゃれ,"smartly dressed, fashion-conscious",JLPT JLPT_2 JLPT_3
お喋り,おしゃべり,"chattering, talk",JLPT JLPT_2 JLPT_3
汚染,おせん,"pollution, contamination",JLPT JLPT_2 JLPT_3
恐らく,おそらく,perhaps,JLPT JLPT_2 JLPT_3
恐れる,おそれる,"to fear, to be afraid of",JLPT JLPT_2 JLPT_3
恐ろしい,おそろしい,"terrible, dreadful",JLPT JLPT_2 JLPT_3
教わる,おそわる,to be taught,JLPT JLPT_2 JLPT_3
お互い,おたがい,"mutual, reciprocal, each other",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
穏やか,おだやか,"calm, gentle, quiet",JLPT JLPT_2 JLPT_3
男の人,おとこのひと,man,JLPT JLPT_3 JLPT_2 Genki_Ln.7 Genki
大人しい,おとなしい,"obedient, docile, quiet",JLPT JLPT_2 JLPT_3
劣る,おとる,"to fall behind, to be inferior to",JLPT JLPT_2 JLPT_3
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",JLPT JLPT_2 JLPT_3
帯,おび,"band, sash",JLPT JLPT_2 JLPT_3
お昼,おひる,"lunch, noon",JLPT JLPT_2 JLPT_3
オフィス,オフィス,office,JLPT JLPT_2 JLPT_3
溺れる,おぼれる,"to be drowned, to indulge in",JLPT JLPT_2 JLPT_3
お前,おまえ,"you (sing), presence (of a high personage)",JLPT JLPT_2 JLPT_3
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",JLPT JLPT_2 JLPT_3
お目に掛かる,おめにかかる,"meet ~, see ~",JLPT JLPT_2 JLPT_3
思い付く,おもいつく,"to think of, to hit upon",JLPT JLPT_2 JLPT_3
思い出,おもいで,"memories, recollections, reminiscence",JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki
主に,おもに,"mainly, primarily",JLPT JLPT_2 JLPT_3
思わず,おもわず,"unintentional, spontaneous",JLPT JLPT_2 JLPT_3
泳ぎ,およぎ,swimming,JLPT JLPT_2 JLPT_3
およそ,およそ,"about, roughly, approximately",JLPT JLPT_2 JLPT_3
及ぼす,およぼす,"to exert, to cause, to exercise",JLPT JLPT_2 JLPT_3
下す,おろす,"to lower, to let go down",JLPT JLPT_2 JLPT_3
降ろす,おろす,"to take down, to launch, to drop",JLPT JLPT_2 JLPT_3
卸す,おろす,"to sell wholesale, grated (vegetables)",JLPT JLPT_2 JLPT_3
音,おん,"sound, note",JLPT JLPT_2 JLPT_3
恩,おん,"favor, obligation, debt of gratitude",JLPT JLPT_2 JLPT_3
温暖,おんだん,warmth,JLPT JLPT_2 JLPT_3
温度,おんど,temperature,JLPT JLPT_2 JLPT_3
可,か,passable,JLPT JLPT_2 JLPT_3
蚊,か,mosquito,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
課,か,"department, division",JLPT JLPT_2 JLPT_3
カー,カー,car,JLPT JLPT_2 JLPT_3
カード,カード,"card, curd",JLPT JLPT_2 JLPT_3
貝,かい,"shell, shellfish",JLPT JLPT_2 JLPT_3
害,がい,"harm, damage",JLPT JLPT_2 JLPT_3
会員,かいいん,"member, the membership",JLPT JLPT_2 JLPT_3
絵画,かいが,"picture, painting",JLPT JLPT_2 JLPT_3
海外,かいがい,"foreign, abroad, overseas",JLPT JLPT_2 JLPT_3
会計,かいけい,"account, finance",JLPT JLPT_2 JLPT_3
解決,かいけつ,"settlement, solution, resolution",JLPT JLPT_2 JLPT_3
会合,かいごう,"meeting, assembly",JLPT JLPT_2 JLPT_3
外交,がいこう,diplomacy,JLPT JLPT_2 JLPT_3
開始,かいし,"start, commencement, beginning",JLPT JLPT_2 JLPT_3
解釈,かいしゃく,"explanation, interpretation",JLPT JLPT_2 JLPT_3
外出,がいしゅつ,"outing, going out",JLPT JLPT_2 JLPT_3
改善,かいぜん,"betterment, improvement",JLPT JLPT_2 JLPT_3
快適,かいてき,"pleasant, agreeable",JLPT JLPT_2 JLPT_3
回復,かいふく,"recovery (from illness), rehabilitation, restoration",JLPT JLPT_2 JLPT_3
飼う,かう,to keep; to own (a pet); to raise; to feed,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
帰す,かえす,to send back,JLPT JLPT_2 JLPT_3
代える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_2 JLPT_3
替える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_2 JLPT_3
換える,かえる,"to exchange, to interchange, to substitute",JLPT JLPT_3 JLPT_2 Genki_Ln.23 Genki
反る,かえる,"to warp, to be warped, to curve",JLPT JLPT_2 JLPT_3
香り,かおり,"aroma, fragrance",JLPT JLPT_2 JLPT_3
画家,がか,painter,JLPT JLPT_2 JLPT_3
抱える,かかえる,to hold or carry under or in the arms,JLPT JLPT_2 JLPT_3
価格,かかく,"price, value",JLPT JLPT_2 JLPT_3
化学,かがく,chemistry,JLPT JLPT_2 JLPT_3
輝く,かがやく,"to shine, to glitter, to sparkle",JLPT JLPT_2 JLPT_3
係,かかり,person in charge,JLPT JLPT_2 JLPT_3
罹る,かかる,to suffer from,JLPT JLPT_2 JLPT_3
限る,かぎる,"to restrict, to limit, to confine",JLPT JLPT_2 JLPT_3
掻く,かく,to scratch,JLPT JLPT_2 JLPT_3
描く,かく,"to draw, to depict, to describe",JLPT JLPT_2 JLPT_3
嗅ぐ,かぐ,"to sniff, to smell",JLPT JLPT_2 JLPT_3
家具,かぐ,furniture,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki
学,がく,"learning, knowledge",JLPT JLPT_2 JLPT_3
額,がく,amount; frame,JLPT JLPT_2 JLPT_3
覚悟,かくご,"resolution, resignation, readiness",JLPT JLPT_2 JLPT_3
確実,かくじつ,"certainty, reliability, soundness",JLPT JLPT_2 JLPT_3
学者,がくしゃ,scholar,JLPT JLPT_2 JLPT_3
学習,がくしゅう,"study, learning",JLPT JLPT_2 JLPT_3
隠す,かくす,"to hide, to conceal",JLPT JLPT_2 JLPT_3
拡大,かくだい,"magnification, enlargement",JLPT JLPT_2 JLPT_3
確認,かくにん,"affirmation, confirmation",JLPT JLPT_2 JLPT_3
学問,がくもん,"scholarship, study, learning",JLPT JLPT_2 JLPT_3
隠れる,かくれる,"to hide, to be hidden",JLPT JLPT_2 JLPT_3
影,かげ,"shade, shadow, other side",JLPT JLPT_2 JLPT_3
陰,かげ,"shade, shadow, other side",JLPT JLPT_2 JLPT_3
欠ける,かける,to be lacking,JLPT JLPT_2 JLPT_3
加減,かげん,adjustment; addition and subtraction,JLPT JLPT_2 JLPT_3
過去,かこ,past,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
籠,かご,"basket, cage",JLPT JLPT_2 JLPT_3
囲む,かこむ,"to surround, to encircle",JLPT JLPT_2 JLPT_3
火災,かさい,"conflagration, fire",JLPT JLPT_2 JLPT_3
重なる,かさなる,"to be piled up, lie on top of one another",JLPT JLPT_2 JLPT_3
重ねる,かさねる,"to pile up, to put something on another, to heap up",JLPT JLPT_2 JLPT_3
飾り,かざり,decoration,JLPT JLPT_2 JLPT_3
貸し,かし,"loan, lending",JLPT JLPT_2 JLPT_3
菓子,かし,"confectionery, sweet",JLPT JLPT_2 JLPT_3
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki
賢い,かしこい,"wise, clever, smart",JLPT JLPT_2 JLPT_3
歌手,かしゅ,singer,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
数,かず,"number, figure, amount",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
稼ぐ,かせぐ,"to earn income, to labor",JLPT JLPT_2 JLPT_3
数える,かぞえる,to count,JLPT JLPT_2 JLPT_3
型,かた,"mold, model, style",JLPT JLPT_2 JLPT_3
肩,かた,shoulder,JLPT JLPT_2 JLPT_3
堅い,かたい,"hard, firm, solid",JLPT JLPT_2 JLPT_3
硬い,かたい,"hard, firm, solid",JLPT JLPT_2 JLPT_3
方々,かたがた,persons,JLPT JLPT_2 JLPT_3
片付く,かたづく,"to put in order, to solve",JLPT JLPT_2 JLPT_3
刀,かたな,"sword, saber",JLPT JLPT_2 JLPT_3
語る,かたる,"to talk, to tell, to recite",JLPT JLPT_2 JLPT_3
勝ち,かち,"win, victory",JLPT JLPT_2 JLPT_3
価値,かち,"value, worth, merit",JLPT JLPT_2 JLPT_3
がっかり,がっかり,"feel disappointed, be dejected, lose heart",JLPT JLPT_2 JLPT_3
活気,かっき,vigor; liveliness; vitality; energy,JLPT Intermediate_Japanese JLPT_1 JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
楽器,がっき,musical instrument,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki
学期,がっき,term (school),JLPT JLPT_2 JLPT_3
活動,かつどう,"action, activity",JLPT JLPT_2 JLPT_3
活躍,かつやく,activity,JLPT JLPT_2 JLPT_3
活用,かつよう,conjugation; practical use,JLPT JLPT_2 JLPT_3
仮定,かてい,"assumption, supposition, hypothesis",JLPT JLPT_2 JLPT_3
過程,かてい,process,JLPT JLPT_2 JLPT_3
課程,かてい,"course, curriculum",JLPT JLPT_2 JLPT_3
悲しむ,かなしむ,"to be sad, to mourn for, to regret",JLPT JLPT_2 JLPT_3
必ずしも,かならずしも,"(not) always, (not) necessarily",JLPT JLPT_2 JLPT_3
かなり,かなり,"considerably, fairly, quite",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
金,かね,"gold, metal; money",JLPT JLPT_2 JLPT_3
鐘,かね,"bell, chime",JLPT JLPT_2 JLPT_3
可能,かのう,"possible, practicable, feasible",JLPT JLPT_2 JLPT_3
株,かぶ,stock; stump (of tree),JLPT JLPT_2 JLPT_3
被る,かぶる,to wear; to be covered with,JLPT JLPT_2 JLPT_3
我慢,がまん,"patience, endurance, perseverance",JLPT JLPT_2 JLPT_3
上,かみ,first volume; superior quality; governmental,JLPT JLPT_2 JLPT_3
神,かみ,god,JLPT JLPT_2 JLPT_3
雷,かみなり,thunder,JLPT JLPT_2 JLPT_3
髪の毛,かみのけ,hair (head),JLPT JLPT_2 JLPT_3
科目,かもく,"(school) subject, curriculum, course",JLPT JLPT_2 JLPT_3
かもしれない,かもしれない,"maybe, perhaps",JLPT JLPT_2 JLPT_3
かゆい,かゆい,"itchy, itching",JLPT JLPT_2 JLPT_3
歌謡,かよう,"song, ballad",JLPT JLPT_2 JLPT_3
空,から,empty,JLPT JLPT_2 JLPT_3
殻,から,"shell, husk, hull",JLPT JLPT_2 JLPT_3
柄,がら,pattern; build; character,JLPT JLPT_2 JLPT_3
刈る,かる,"to cut (hair), to mow (grass), to harvest",JLPT JLPT_2 JLPT_3
河,かわ,"river, stream",JLPT JLPT_2 JLPT_3
皮,かわ,"skin, hide, leather",JLPT JLPT_2 JLPT_3
革,かわ,leather,JLPT JLPT_2 JLPT_3
可愛そう,かわいそう,"poor, pitiable, pathetic",JLPT JLPT_2 JLPT_3
可愛らしい,かわいらしい,"lovely, sweet",JLPT JLPT_2 JLPT_3
乾かす,かわかす,to dry,JLPT JLPT_2 JLPT_3
渇く,かわく,to be thirsty,JLPT JLPT_2 JLPT_3
代る,かわる,"to take the place of, to relieve, to be substituted for",JLPT JLPT_2 JLPT_3
缶,かん,"can, tin",JLPT_1 JLPT JLPT_2 JLPT_3
勘,かん,"perception, intuition, the sixth sense",JLPT JLPT_2 JLPT_3
考え,かんがえ,"thinking, thought, ideas",JLPT JLPT_2 JLPT_3
感覚,かんかく,"sense, sensation",JLPT JLPT_2 JLPT_3
間隔,かんかく,"space, interval, SPC",JLPT JLPT_2 JLPT_3
観客,かんきゃく,"audience, spectator(s)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
環境,かんきょう,"environment, circumstance",JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
歓迎,かんげい,"welcome, reception",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
観光,かんこう,sightseeing,Genki_Ln.15 JLPT JLPT_3 JLPT_2 Genki
観察,かんさつ,"observation, survey",JLPT JLPT_2 JLPT_3
感じ,かんじ,"feeling, sense, impression",JLPT JLPT_2 JLPT_3
感謝,かんしゃ,"thanks, gratitude",JLPT JLPT_2 JLPT_3
患者,かんじゃ,patient,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
勘定,かんじょう,"calculation, counting, consideration",JLPT JLPT_2 JLPT_3
感情,かんじょう,"emotion(s), feeling(s), sentiment",JLPT JLPT_2 JLPT_3
感じる,かんじる,"to feel, to sense",JLPT JLPT_2 JLPT_3
感心,かんしん,admiration,JLPT JLPT_2 JLPT_3
関心,かんしん,"concern, interest",JLPT JLPT_2 JLPT_3
関する,かんする,"to concern, to be related",JLPT JLPT_2 JLPT_3
完成,かんせい,"complete, completion; perfection",JLPT JLPT_2 JLPT_3
完全,かんぜん,"perfection, completeness",JLPT JLPT_2 JLPT_3
乾燥,かんそう,"dry, arid, dehydrated",JLPT JLPT_2 JLPT_3
感想,かんそう,"(one's) impressions, (one's) thoughts",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
感動,かんどう,"being deeply moved, excitement",JLPT JLPT_2 JLPT_3
監督,かんとく,"supervision, control, (movie) director",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
管理,かんり,"control, management (e.g., of a business)",JLPT JLPT_2 JLPT_3
完了,かんりょう,"completion, conclusion",JLPT JLPT_2 JLPT_3
関連,かんれん,"relation, connection, relevance",JLPT JLPT_2 JLPT_3
議員,ぎいん,"member of the Diet, congress, or parliament",JLPT JLPT_2 JLPT_3
記憶,きおく,"memory, recollection, remembrance",JLPT JLPT_2 JLPT_3
気温,きおん,temperature (weather - not used for things),JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
機械,きかい,"machine, machinery",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
器械,きかい,instrument,JLPT JLPT_2 JLPT_3
議会,ぎかい,"Diet, congress, parliament",JLPT JLPT_2 JLPT_3
期間,きかん,"period, term",JLPT JLPT_2 JLPT_3
機関,きかん,"engine; institution, organization",JLPT JLPT_2 JLPT_3
企業,きぎょう,"industry, business, undertaking",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
効く,きく,to be effective,JLPT JLPT_2 JLPT_3
期限,きげん,"deadline, term",JLPT JLPT_2 JLPT_3
機嫌,きげん,"humor, temper, mood",JLPT JLPT_2 JLPT_3
気候,きこう,climate,JLPT JLPT_2 JLPT_3
岸,きし,"bank, coast, shore",JLPT JLPT_2 JLPT_3
生地,きじ,fabric; dough,JLPT JLPT_2 JLPT_3
記事,きじ,"article, news story",JLPT JLPT_2 JLPT_3
技師,ぎし,"engineer, technician",JLPT JLPT_2 JLPT_3
記者,きしゃ,reporter,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
傷,きず,"wound, injury, hurt",JLPT JLPT_2 JLPT_3
期待,きたい,"expectation, anticipation, hope",JLPT JLPT_2 JLPT_3
気体,きたい,"vapor, gas",JLPT JLPT_2 JLPT_3
帰宅,きたく,returning home,JLPT JLPT_2 JLPT_3
貴重,きちょう,"precious, valuable",JLPT JLPT_2 JLPT_3
議長,ぎちょう,chairman,JLPT JLPT_2 JLPT_3
きちんと,きちんと,"precisely, accurately",JLPT JLPT_2 JLPT_3
きつい,きつい,"tight, close, intense",JLPT JLPT_2 JLPT_3
気付く,きづく,"to notice, to recognize, to become aware of",JLPT JLPT_2 JLPT_3
気に入る,きにいる,"to like, to be please",JLPT JLPT_2 JLPT_3
記入,きにゅう,"entry, filling in of forms",JLPT JLPT_2 JLPT_3
記念,きねん,"commemoration, memory",JLPT JLPT_2 JLPT_3
機能,きのう,"function, faculty",JLPT JLPT_2 JLPT_3
気の毒,きのどく,"pitiful, a pity",JLPT JLPT_2 JLPT_3
寄付,きふ,"contribution, donation",JLPT JLPT_2 JLPT_3
希望,きぼう,"hope, wish, aspiration",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
基本,きほん,"basic, basis",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
